rssi,lqi
-64,116
-63,120
-64,116
-64,116
-64,116
-66,108
-66,108
-65,112
-66,108
-65,112
-65,112
-65,112
-64,116
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-65,112
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-64,116
-63,120
-64,116
-65,112
-65,112
-64,116
-65,112
-65,112
-64,116
-64,116
-64,116
-65,112
-64,116
-66,108
-66,108
-64,116
-65,112
-64,116
-63,120
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-64,116
-65,112
-63,120
-64,116
-65,112
-64,116
-64,116
-65,112
-65,112
-63,120
-63,120
-65,112
-63,120
-65,112
-63,120
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-63,120
-63,120
-65,112
-65,112
-64,116
-65,112
-65,112
-64,116
-64,116
-64,116
-65,112
-67,104
-69,96
-70,92
-69,96
-69,96
-70,92
-68,100
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-65,112
-65,112
-65,112
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-64,116
-66,108
-65,112
-66,108
-66,108
-66,108
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-67,104
-66,108
-66,108
-66,108
-66,108
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-65,112
-63,120
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-66,108
-66,108
-68,100
-65,112
-65,112
-65,112
-64,116
-64,116
-63,120
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-68,100
-68,100
-67,104
-66,108
-66,108
-64,116
-64,116
-65,112
-64,116
-64,116
-65,112
-66,108
-66,108
-64,116
-65,112
-66,108
-66,108
-66,108
-67,104
-66,108
-67,104
-66,108
-66,108
-67,104
-66,108
-65,112
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-64,116
-64,116
-64,116
-65,112
-66,108
-65,112
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-63,120
-63,120
-63,120
-64,116
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-65,112
-64,116
-65,112
-65,112
-65,112
-66,108
-65,112
-66,108
-65,112
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-64,116
-65,112
-65,112
-64,116
-64,116
-65,112
-66,108
-66,108
-65,112
-65,112
-66,108
-67,104
-68,100
-67,104
-67,104
-66,108
-66,108
-66,108
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-67,104
-67,104
-66,108
-66,108
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-65,112
-66,108
-66,108
-66,108
-65,112
-66,108
-65,112
-65,112
-64,116
-64,116
-63,120
-64,116
-65,112
-66,108
-64,116
-65,112
-64,116
-65,112
-65,112
-64,116
-65,112
-65,112
-65,112
-66,108
-66,108
-65,112
-64,116
-63,120
-63,120
-63,120
-64,116
-65,112
-64,116
-65,112
-65,112
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-63,120
-64,116
-63,120
-65,112
-65,112
-65,112
-64,116
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-64,116
-66,108
-65,112
-64,116
-64,116
-65,112
-65,112
-66,108
-66,108
-65,112
-65,112
-64,116
-63,120
-64,116
-65,112
-65,112
-64,116
-65,112
-66,108
-65,112
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-64,116
-65,112
-64,116
-64,116
-65,112
-64,116
-65,112
-64,116
-65,112
-64,116
-64,116
-63,120
-65,112
-65,112
-66,108
-64,116
-65,112
-65,112
-66,108
-64,116
-64,116
-66,108
-66,108
-65,112
-65,112
-64,116
-65,112
-64,116
-63,120
-63,120
-63,120
-64,116
-65,112
-66,108
-67,104
-67,104
-66,108
-66,108
-68,100
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-64,116
-64,116
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-65,112
-64,116
-64,116
-64,116
-63,120
-63,120
-64,116
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-66,108
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-66,108
-65,112
-64,116
-66,108
-66,108
-66,108
-67,104
-67,104
-65,112
-65,112
-64,116
-63,120
-64,116
-65,112
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-65,112
-66,108
-65,112
-64,116
-65,112
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-64,116
-66,108
-65,112
-64,116
-64,116
-65,112
-67,104
-66,108
-67,104
-66,108
-66,108
-66,108
-67,104
-64,116
-64,116
-64,116
-65,112
-64,116
-66,108
-66,108
-65,112
-65,112
-65,112
-64,116
-64,116
-64,116
-63,120
-64,116
-65,112
-65,112
-65,112
-66,108
-66,108
-65,112
-66,108
-67,104
-67,104
-64,116
-64,116
-64,116
-64,116
-64,116
-67,104
-66,108
-68,100
-67,104
-67,104
-68,100
-69,96
-69,96
-68,100
-68,100
-66,108
-65,112
-65,112
-64,116
-63,120
-63,120
-63,120
-63,120
-62,124
-63,120
-63,120
-63,120
-65,112
-65,112
-65,112
-65,112
-66,108
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-64,116
-65,112
-66,108
-66,108
-66,108
-66,108
-67,104
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-63,120
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-67,104
-65,112
-67,104
-65,112
-67,104
-66,108
-65,112
-65,112
-66,108
-63,120
-64,116
-65,112
-64,116
-67,104
-66,108
-64,116
-64,116
-63,120
-64,116
-62,124
-65,112
-64,116
-64,116
-64,116
-66,108
-65,112
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-63,120
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-67,104
-66,108
-65,112
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-65,112
-65,112
-66,108
-66,108
-67,104
-69,96
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-67,104
-66,108
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-64,116
-65,112
-65,112
-66,108
-65,112
-65,112
-66,108
-65,112
-66,108
-65,112
-66,108
-66,108
-65,112
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-67,104
-66,108
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-64,116
-64,116
-64,116
-65,112
-65,112
-66,108
-66,108
-67,104
-67,104
-66,108
-66,108
-66,108
-65,112
-64,116
-64,116
-65,112
-64,116
-66,108
-69,96
-70,92
-70,92
-68,100
-67,104
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-66,108
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-65,112
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-64,116
-65,112
-64,116
-64,116
-64,116
-63,120
-64,116
-65,112
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-66,108
-67,104
-68,100
-68,100
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-66,108
-66,108
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-64,116
-65,112
-64,116
-63,120
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-66,108
-64,116
-64,116
-66,108
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-63,120
-64,116
-64,116
-65,112
-66,108
-66,108
-66,108
-66,108
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-65,112
-65,112
-65,112
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-65,112
-66,108
-66,108
-67,104
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-67,104
-65,112
-65,112
-65,112
-65,112
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-66,108
-67,104
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-64,116
-65,112
-65,112
-64,116
-65,112
-65,112
-66,108
-66,108
-67,104
-68,100
-68,100
-69,96
-70,92
-68,100
-69,96
-67,104
-67,104
-68,100
-67,104
-68,100
-66,108
-66,108
-65,112
-65,112
-64,116
-64,116
-65,112
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-64,116
-63,120
-63,120
-64,116
-64,116
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-63,120
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-63,120
-64,116
-63,120
-64,116
-64,116
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-65,112
-64,116
-64,116
-64,116
-65,112
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-64,116
-64,116
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-66,108
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-63,120
-62,124
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-65,112
-64,116
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-63,120
-63,120
-63,120
-65,112
-64,116
-63,120
-63,120
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-62,124
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-64,116
-63,120
-65,112
-64,116
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-63,120
-63,120
-65,112
-65,112
-65,112
-64,116
-65,112
-67,104
-66,108
-66,108
-65,112
-66,108
-67,104
-65,112
-64,116
-63,120
-63,120
-66,108
-65,112
-65,112
-65,112
-65,112
-66,108
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-67,104
-69,96
-66,108
-67,104
-66,108
-66,108
-66,108
-65,112
-67,104
-65,112
-63,120
-65,112
-63,120
-63,120
-63,120
-63,120
-64,116
-66,108
-67,104
-67,104
-66,108
-66,108
-68,100
-66,108
-64,116
-64,116
-67,104
-65,112
-65,112
-66,108
-66,108
-64,116
-66,108
-66,108
-65,112
-63,120
-63,120
-66,108
-64,116
-65,112
-64,116
-64,116
-65,112
-66,108
-65,112
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-62,124
-62,124
-62,124
-63,120
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-63,120
-62,124
-62,124
-62,124
-62,124
-63,120
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-64,116
-64,116
-65,112
-65,112
-64,116
-65,112
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-64,116
-64,116
-63,120
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-62,124
-63,120
-65,112
-67,104
-65,112
-66,108
-64,116
-64,116
-66,108
-64,116
-68,100
-67,104
-65,112
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-63,120
-63,120
-65,112
-65,112
-65,112
-65,112
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-62,124
-63,120
-63,120
-63,120
-65,112
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-64,116
-65,112
-65,112
-66,108
-66,108
-65,112
-66,108
-66,108
-65,112
-65,112
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-65,112
-66,108
-64,116
-63,120
-63,120
-64,116
-64,116
-63,120
-64,116
-63,120
-63,120
-63,120
-62,124
-62,124
-62,124
-61,128
-61,128
-61,128
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-62,124
-62,124
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-63,120
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-64,116
-65,112
-66,108
-66,108
-67,104
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-67,104
-66,108
-66,108
-67,104
-69,96
-67,104
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-65,112
-66,108
-67,104
-69,96
-70,92
-71,88
-71,88
-71,88
-71,88
-69,96
-68,100
-67,104
-66,108
-65,112
-64,116
-64,116
-62,124
-63,120
-62,124
-61,128
-61,128
-61,128
-62,124
-62,124
-62,124
-63,120
-63,120
-63,120
-64,116
-64,116
-66,108
-68,100
-67,104
-66,108
-68,100
-71,88
-64,116
-65,112
-65,112
-65,112
-66,108
-70,92
-70,92
-70,92
-70,92
-69,96
-68,100
-68,100
-67,104
-66,108
-65,112
-65,112
-66,108
-67,104
-68,100
-69,96
-70,92
-69,96
-69,96
-71,88
-71,88
-68,100
-67,104
-67,104
-71,88
-71,88
-70,92
-68,100
-69,96
-72,84
-74,76
-71,88
-70,92
-70,92
-72,84
-72,84
-71,88
-68,100
-70,92
-69,96
-68,100
-68,100
-67,104
-65,112
-65,112
-67,104
-68,100
-68,100
-69,96
-66,108
-67,104
-68,100
-69,96
-68,100
-67,104
-68,100
-69,96
-72,84
-76,68
-73,80
-70,92
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-66,108
-66,108
-67,104
-67,104
-68,100
-68,100
-68,100
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-66,108
-65,112
-63,120
-63,120
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-65,112
-66,108
-65,112
-66,108
-67,104
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-68,100
-64,116
-65,112
-65,112
-65,112
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-65,112
-66,108
-65,112
-65,112
-64,116
-65,112
-64,116
-63,120
-63,120
-64,116
-64,116
-63,120
-65,112
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-65,112
-65,112
-66,108
-66,108
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-70,92
-71,88
-70,92
-72,84
-73,80
-72,84
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-71,88
-71,88
-70,92
-70,92
-70,92
-69,96
-69,96
-69,96
-68,100
-69,96
-69,96
-70,92
-71,88
-70,92
-69,96
-69,96
-69,96
-68,100
-69,96
-69,96
-68,100
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-69,96
-69,96
-70,92
-70,92
-70,92
-69,96
-69,96
-69,96
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-69,96
-68,100
-67,104
-68,100
-68,100
-67,104
-67,104
-68,100
-69,96
-69,96
-69,96
-69,96
-70,92
-68,100
-67,104
-69,96
-69,96
-68,100
-68,100
-67,104
-66,108
-66,108
-66,108
-66,108
-65,112
-64,116
-64,116
-65,112
-64,116
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-67,104
-65,112
-66,108
-66,108
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-66,108
-68,100
-68,100
-69,96
-68,100
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-67,104
-66,108
-65,112
-65,112
-66,108
-66,108
-67,104
-67,104
-66,108
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-67,104
-66,108
-66,108
-65,112
-64,116
-64,116
-64,116
-65,112
-66,108
-66,108
-66,108
-67,104
-67,104
-68,100
-68,100
-68,100
-67,104
-67,104
-66,108
-66,108
-67,104
-67,104
-68,100
-68,100
-67,104
-67,104
-67,104
-68,100
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-67,104
-67,104
-67,104
-66,108
-66,108
-66,108
-65,112
-66,108
-66,108
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-66,108
-67,104
-67,104
-68,100
-68,100
-69,96
-69,96
-68,100
-68,100
-68,100
-69,96
-68,100
-68,100
-68,100
-69,96
-69,96
-70,92
-69,96
-70,92
-69,96
-70,92
-69,96
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-68,100
-67,104
-65,112
-66,108
-66,108
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-66,108
-66,108
-68,100
-69,96
-68,100
-67,104
-67,104
-66,108
-66,108
-65,112
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-68,100
-69,96
-70,92
-69,96
-69,96
-68,100
-67,104
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-67,104
-67,104
-67,104
-68,100
-68,100
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-69,96
-68,100
-67,104
-69,96
-67,104
-67,104
-66,108
-67,104
-68,100
-68,100
-68,100
-67,104
-68,100
-68,100
-68,100
-66,108
-67,104
-68,100
-68,100
-66,108
-65,112
-64,116
-65,112
-65,112
-65,112
-66,108
-67,104
-67,104
-67,104
-68,100
-68,100
-66,108
